READ_NAME	REF_NAME	POS	STRAND	NUMBER_OF_ALIGNMENTS
r1	ref	1083	+	2
r2	ref	148	+	2
r3	ref	19	+	1
r4	ref	33	-	2
r5	ref	81	+	11
r6	ref	272	-	5
r7	ref	540	+	3
r8	ref	754	-	2
r9	ref	102	-	2
r10	ref	120	-	1
r11	ref	132	+	1
r12	ref	152	-	1
r13	*	0	*	0
r14	ref	838	-	1
r15	ref	48	+	4
r16	ref	201	+	5
r17	ref	242	+	2
r18	ref	77	-	1
r19	ref	731	+	1
r20	*	0	*	0
r21	ref	416	+	3
r22	ref	1236	-	1
r23	ref	1284	+	1
r24	ref	1293	-	1
r25	ref	111	+	1
r26	ref	123	-	1
r27	ref	192	-	2
r28	ref	582	-	2
r29	ref	863	+	1
r30	ref	879	-	1
r31	ref	336	+	2
r32	ref	1124	-	1
r33	ref	3	-	4
r34	ref	502	-	1
r35	ref	1306	+	1
r36	ref	1317	-	1
r37	ref	348	+	3
r38	ref	358	-	1
r39	ref	611	+	1
r40	ref	125	+	3
r41	ref	126	+	1
r42	ref	142	-	1
r43	ref	353	-	4
r44	ref	585	-	1
r45	ref	32	+	2
r46	ref	48	-	4
r47	ref	491	+	2
r48	ref	244	+	4
r49	ref	446	+	2
r50	ref	977	-	1
r51	ref	345	+	2
r52	ref	1086	-	1
r53	ref	130	+	3
r54	*	0	*	0
r55	ref	1227	+	1
r56	ref	1237	-	1
r57	ref	136	+	2
r58	*	0	*	0
r59	ref	7	+	2
r60	*	0	*	0
r61	ref	82	-	4
r62	ref	251	-	2
r63	ref	836	+	2
r64	ref	904	-	1
r65	ref	74	+	3
r66	ref	944	-	1
r67	*	0	*	0
r68	ref	231	-	1
r69	ref	580	-	2
r70	ref	206	+	5
r71	ref	914	+	1
r72	ref	204	+	5
r73	ref	69	+	2
r74	ref	86	-	2
r75	ref	990	+	1
r76	*	0	*	0
r77	ref	503	+	2
r78	ref	986	-	1
r79	ref	1247	-	2
r80	ref	1262	-	1
r81	ref	342	+	2
r82	ref	354	-	2
r83	ref	39	+	1
r84	ref	53	-	2
r85	*	0	*	0
r86	ref	629	-	1
r87	ref	632	-	2
r88	ref	1017	-	1
r89	*	0	*	0
r90	ref	348	+	3
r91	*	0	*	0
r92	ref	819	-	1
r93	*	0	*	0
r94	ref	941	-	2
r95	ref	90	+	1
r96	ref	101	+	3
r97	ref	783	+	2
r98	ref	364	-	2
r99	ref	252	-	2
r100	ref	323	-	3
r101	ref	420	-	2
r102	*	0	*	0
r103	ref	1059	+	1
r104	ref	615	-	4
r105	ref	776	-	2
r106	ref	453	-	2
r107	ref	337	+	3
r108	ref	1074	-	1
r109	ref	526	-	3
r110	ref	478	-	3
r111	ref	9	+	2
r112	ref	86	-	2
r113	ref	644	+	2
r114	ref	750	-	2
r115	ref	345	+	2
r116	ref	357	-	1
r117	ref	46	-	8
r118	ref	238	-	3
r119	ref	460	+	2
r120	ref	431	-	3
r121	ref	173	+	2
r122	ref	190	-	2
r123	ref	210	+	6
r124	ref	1106	-	1
r125	ref	73	+	1
r126	ref	84	-	4
r127	ref	1120	+	1
r128	ref	245	+	4
r129	ref	156	+	1
r130	ref	173	-	2
r131	ref	431	+	3
r132	*	0	*	0
r133	ref	841	+	1
r134	ref	853	-	1
r135	ref	164	+	3
r136	ref	179	-	2
r137	ref	392	+	2
r138	ref	1016	-	1
r139	ref	368	-	4
r140	ref	713	-	1
r141	ref	182	+	1
r142	ref	1120	+	1
r143	ref	1036	+	1
r144	ref	978	-	1
r145	ref	143	+	1
r146	ref	56	+	2
r147	ref	244	+	4
r148	ref	251	-	2
r149	ref	596	+	1
r150	ref	610	-	1
r151	ref	338	-	2
r152	ref	580	-	2
r153	ref	649	+	1
r154	*	0	*	0
r155	ref	108	+	1
r156	ref	120	-	1
r157	ref	955	+	2
r158	ref	247	-	3
r159	ref	418	+	1
r160	ref	367	-	7
r161	*	0	*	0
r162	ref	197	-	3
r163	ref	557	+	1
r164	ref	353	+	4
r165	ref	164	-	3
r166	ref	555	-	1
r167	ref	716	+	1
r168	ref	725	-	1
r169	ref	515	+	1
r170	ref	525	-	4
r171	ref	826	+	1
r172	*	0	*	0
r173	ref	209	+	5
r174	ref	419	-	3
r175	ref	1064	+	1
r176	ref	1078	-	1
r177	ref	206	+	5
r178	*	0	*	0
r179	ref	48	+	4
r180	ref	474	-	3
r181	ref	1310	-	1
r182	ref	4	+	4
r183	ref	872	+	1
r184	*	0	*	0
r185	ref	744	+	1
r186	ref	868	-	1
r187	ref	506	+	2
r188	*	0	*	0
r189	*	0	*	0
r190	*	0	*	0
r191	ref	276	+	2
r192	ref	289	-	1
r193	ref	390	+	1
r194	ref	406	-	2
r195	ref	49	-	1
r196	ref	563	-	1
r197	*	0	*	0
r198	ref	41	-	1
r199	ref	194	+	1
r200	*	0	*	0
r201	ref	335	+	1
r202	ref	352	-	3
r203	ref	1297	+	1
r204	ref	4	+	4
r205	ref	1119	+	1
r206	ref	452	-	2
r207	ref	46	-	8
r208	ref	238	-	3
r209	ref	71	+	2
r210	ref	1283	-	1
r211	ref	1137	+	1
r212	ref	208	-	5
r213	ref	1153	+	1
r214	ref	1164	-	1
r215	ref	338	-	2
r216	ref	581	-	1
r217	ref	74	+	3
r218	ref	85	-	1
