READ_NAME	REF_NAME	POS	STRAND	NUMBER_OF_ALIGNMENTS	MAPPING_COST
r1	ref	1083	+	21	0
r2	ref	148	+	4	0
r3	ref	19	+	37	0
r4	ref	33	-	7	0
r5	ref	81	+	16	0
r6	ref	272	-	12	0
r7	ref	540	+	5	0
r8	ref	754	+	4	0
r9	ref	102	+	6	0
r10	ref	120	-	27	0
r11	ref	132	+	2	0
r12	ref	152	-	2	0
r13	ref	8	+	3	1
r14	ref	838	-	40	0
r15	ref	48	+	14	0
r16	ref	201	+	8	0
r17	ref	242	+	6	0
r18	ref	77	-	8	0
r19	ref	731	+	35	0
r20	ref	107	-	16	1
r21	ref	416	+	5	0
r22	ref	1236	-	31	0
r23	ref	1284	+	44	0
r24	ref	1293	-	4	0
r25	ref	111	+	3	0
r26	ref	123	-	41	0
r27	ref	192	-	2	0
r28	ref	582	-	4	0
r29	ref	863	+	3	0
r30	ref	879	-	3	0
r31	ref	336	+	44	0
r32	ref	1124	-	4	0
r33	ref	3	-	8	0
r34	ref	502	-	3	0
r35	ref	1306	+	39	0
r36	ref	1317	-	3	0
r37	ref	348	+	5	0
r38	ref	358	-	47	0
r39	ref	611	+	3	0
r40	ref	125	+	6	0
r41	ref	126	+	27	0
r42	ref	142	-	3	0
r43	ref	353	-	8	0
r44	ref	585	-	29	0
r45	ref	32	+	3	0
r46	ref	48	-	14	0
r47	ref	491	+	12	0
r48	ref	244	+	5	0
r49	ref	446	+	4	0
r50	ref	977	-	4	0
r51	ref	345	+	5	0
r52	ref	1086	-	7	0
r53	ref	130	+	15	0
r54	ref	95	+	3	1
r55	ref	1227	+	42	0
r56	ref	1237	-	35	0
r57	ref	136	+	6	0
r58	ref	134	-	14	1
r59	ref	7	+	16	0
r60	ref	135	+	4	1
r61	ref	82	-	8	0
r62	ref	251	-	4	0
r63	ref	836	+	7	0
r64	ref	904	-	6	0
r65	ref	74	+	4	0
r66	ref	944	-	4	0
r67	ref	27	-	33	1
r68	ref	231	-	6	0
r69	ref	580	-	5	0
r70	ref	206	+	10	0
r71	ref	914	+	3	0
r72	ref	204	+	8	0
r73	ref	69	+	7	0
r74	ref	86	-	44	0
r75	ref	990	+	4	0
r76	ref	147	-	32	1
r77	ref	503	+	3	0
r78	ref	986	-	32	0
r79	ref	1247	+	4	0
r80	ref	1262	-	4	0
r81	ref	342	+	3	0
r82	ref	354	-	2	0
r83	ref	39	+	2	0
r84	ref	53	-	28	0
r85	ref	307	+	3	1
r86	ref	629	-	43	0
r87	ref	632	-	6	0
r88	ref	1017	-	4	0
r89	ref	125	-	23	1
r90	ref	348	+	5	0
r91	ref	96	+	45	1
r92	ref	819	-	2	0
r93	ref	75	+	30	1
r94	ref	941	-	3	0
r95	ref	90	+	40	0
r96	ref	101	+	7	0
r97	ref	783	+	50	0
r98	ref	364	-	44	0
r99	ref	252	-	4	0
r100	ref	323	-	3	0
r101	ref	420	-	5	0
r102	ref	92	+	27	1
r103	ref	1059	+	5	0
r104	ref	615	-	6	0
r105	ref	776	-	6	0
r106	ref	453	-	7	0
