READ_NAME	REF_NAME1	POS1	STRAND1	NUMBER_OF_ALIGNMENTS1	REF_NAME2	POS2	STRAND2	NUMBER_OF_ALIGNMENTS2
r1	ref	1083	+	2	ref	1117	-	2
r2	ref	19	+	1	ref	33	-	1
r3	ref	305	+	5	ref	237	-	5
r4	ref	540	+	3	ref	754	-	3
r5	ref	102	+	2	ref	120	-	2
r6	ref	132	+	1	ref	152	-	1
r7	ref	*	0	0	ref	*	0	1
r8	ref	48	+	4	ref	887	-	4
r9	ref	77	-	1	ref	242	+	1
r10	ref	*	0	1	ref	*	0	0
r11	ref	416	+	3	ref	1236	-	3
r12	ref	1284	+	1	ref	1293	-	1
r13	ref	123	-	1	ref	111	+	1
r14	ref	582	-	2	ref	1291	+	2
r15	ref	879	-	1	ref	863	+	1
r16	ref	336	+	2	ref	1124	-	2
r17	ref	488	+	4	ref	502	-	4
r18	ref	1306	+	1	ref	1317	-	1
r19	ref	348	+	3	ref	358	-	3
r20	ref	611	+	1	ref	541	-	1
r21	ref	126	+	1	ref	142	-	1
r22	ref	585	-	1	ref	571	+	1
r23	ref	48	-	4	ref	32	+	4
r24	ref	281	-	4	ref	491	+	4
r25	ref	977	-	1	ref	446	+	1
r26	ref	1086	-	1	ref	345	+	1
r27	ref	*	0	0	ref	*	0	3
r28	ref	1227	+	1	ref	1237	-	1
r29	ref	*	0	2	ref	*	0	0
r30	ref	*	0	0	ref	*	0	2
r31	ref	1047	+	2	ref	82	-	2
r32	ref	836	+	2	ref	904	-	2
r33	ref	944	-	1	ref	74	+	1
r34	ref	*	0	1	ref	*	0	0
r35	ref	873	+	2	ref	885	-	2
r36	ref	932	-	5	ref	914	+	5
r37	ref	86	-	2	ref	69	+	2
r38	ref	*	0	0	ref	*	0	1
r39	ref	503	+	2	ref	986	-	2
r40	ref	1247	+	2	ref	1262	-	2
r41	ref	342	+	2	ref	354	-	2
r42	ref	53	-	2	ref	39	+	2
r43	ref	*	0	1	ref	*	0	0
r44	ref	1017	-	1	ref	1008	+	1
r45	ref	*	0	0	ref	*	0	3
r46	ref	*	0	0	ref	*	0	1
r47	ref	*	0	2	ref	*	0	0
r48	ref	90	+	1	ref	103	-	1
r49	ref	783	+	2	ref	364	-	2
r50	ref	814	+	3	ref	252	-	3
r51	ref	*	0	0	ref	*	0	2
r52	ref	1059	+	1	ref	615	-	1
r53	ref	453	-	2	ref	829	+	2
r54	ref	1074	-	1	ref	337	+	1
r55	ref	727	+	3	ref	526	-	3
r56	ref	86	-	2	ref	9	+	2
r57	ref	750	-	2	ref	644	+	2
r58	ref	345	+	2	ref	357	-	2
r59	ref	301	+	8	ref	238	-	8
r60	ref	460	+	2	ref	431	-	2
r61	ref	173	+	2	ref	190	-	2
r62	ref	1106	-	1	ref	210	+	1
r63	ref	84	-	4	ref	73	+	4
r64	ref	1120	+	1	ref	280	-	1
r65	ref	173	-	2	ref	156	+	2
r66	ref	*	0	0	ref	*	0	3
r67	ref	853	-	1	ref	841	+	1
r68	ref	164	+	3	ref	179	-	3
r69	ref	392	+	2	ref	1016	-	2
r70	ref	546	+	4	ref	713	-	4
r71	ref	*	0	1	ref	*	0	1
r72	ref	978	-	1	ref	1036	+	1
r73	ref	143	+	1	ref	155	-	1
r74	ref	244	+	4	ref	251	-	4
r75	ref	596	+	1	ref	610	-	1
r76	ref	873	+	2	ref	338	-	2
r77	ref	*	0	1	ref	*	0	0
r78	ref	120	-	1	ref	108	+	1
r79	ref	955	+	2	ref	247	-	2
r80	ref	367	-	7	ref	418	+	7
r81	ref	*	0	3	ref	*	0	0
r82	ref	557	+	1	ref	571	-	1
r83	ref	555	-	1	ref	543	+	1
r84	ref	725	-	1	ref	716	+	1
r85	ref	515	+	1	ref	525	-	1
r86	ref	*	0	0	ref	*	0	1
r87	ref	209	+	5	ref	419	-	5
r88	ref	1078	-	1	ref	1064	+	1
r89	ref	*	0	0	ref	*	0	5
r90	ref	1204	+	3	ref	300	-	3
r91	ref	4	+	4	ref	1310	-	4
r92	ref	*	0	1	ref	*	0	0
r93	ref	868	-	1	ref	744	+	1
r94	ref	*	0	2	ref	*	0	0
r95	ref	*	0	0	ref	*	0	0
r96	ref	276	+	2	ref	289	-	2
r97	ref	390	+	1	ref	406	-	1
r98	ref	*	0	1	ref	*	0	1
r99	ref	*	0	1	ref	*	0	0
r100	ref	*	0	1	ref	*	0	0
r101	ref	335	+	1	ref	352	-	1
r102	ref	1297	+	1	ref	189	-	1
r103	ref	1119	+	1	ref	452	-	1
r104	ref	767	+	3	ref	46	-	3
r105	ref	1283	-	1	ref	71	+	1
r106	ref	208	-	5	ref	1137	+	5
r107	ref	1164	-	1	ref	1153	+	1
r108	ref	581	-	1	ref	566	+	1
r109	ref	85	-	1	ref	74	+	1
